Имя пользователя,Дата комментария,Текст комментария,Дата ответа,Текст ответа,Оценка,Статус
Zhanara Zhakizhanovа,2024-11-13,"Не верно ставят диагноз травматолог не смог понять что у меня вывих плеча сказал что я преувеличиваю и у меня хондроз, отправил к невропатологу назначили капельницы, но боль не прекращалась обратилась в другую поликлиника сделали МРТ и выявили разрыв связок плечевого сустава, потеряла пол года теперь долгий процесс реабилитации.Все говорил что не стоит идти в эту поликлинику не верила , теперь жалею что потратила время и не то лечила. Не рекомендую",,,1,0
Александр Иванов,2024-11-12,"Пришел сдавать кучу анализов, какие-то посчитали в комплексе, а не по отдельности, хотя мне нужны были конкретные. И нужен был ТТГ. Дали чек, оплатил 30000. В итоге приходят результаты анализа на антитела к ТТГ. Пришел к той девочке на ресепшене, которая утром оформляла меня. Вместо 2100, я заплатил 9600, сказали: «извините, а что вы не посмотрели?». Я давал список от врача и там было просто написано ТТГ. Отличный сервис.

Телефон жалоб и предложений сообщает, что разговор записывается и сбрасывает.",,,1,0
Султан Аканов,2024-11-12,Лучшие специалисты тут.,2024-11-12,"Уважаемый Cултан Аканов,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рад…",5,1
Almas Sharipov,2024-11-09,"Были у стаматолога ужас просто, 3 кабинета только один работает, остальные просто сидят врачи не принимают, на ресепшане девушка не умеет разговаривать с клиентами, не давольная, персонал ужас просто, именно врачи стомотологи относяться халатна, не спешат уходят с кабинета пациенты ждут прием очень долго, ходят туда сюда разговаривают по телефону, пока не зайдешь к врачу не спросишь принимает ли они или нет они просто сидят в кабинетах, ресепшену вообще пофиг, они говорят одно что стаматологи не относяться к ним, 2 часа сидели еле как приняли именно Эмир мед 8 микрарайоне это ужас просто, мы были на Розабакиева и на манаса в Эмир меде там супер классно принимают а вот 8 микрарайоне это ужас, корочен одним словам полный 0.",2024-11-09,"Уважаемый Almas Sharipov,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике…",1,0
Айсанем Еркебаева,2024-11-09,"Ужасно некомпетентные сотрудники, вроде бы частная клиника, людей вообще нет, но везде все ждешь часами, ничего не знают, все время задают 100500 вопросов и направляют в 100500 кабинетов и каждое твое дыхание в клинике стоят денег, при этом идешь оплачивать сами не знают за что и сколько,, не могут даже рентген нормально снять. В общем как в обычной поликлинике но за бешеные деньги!",2024-11-09,"Уважаемая Айсанем Еркебаева,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клини…",1,0
Гуля Рам,2024-11-09,"Хочу оставить положительный отзыв Байкенже Бибигюль Сериковне. Очень хороший врач, вежливая, позитивная, заботится о пациентах. Рада что я к ней попала, в дальнейшем при необходимости буду ходить к ней.",2024-11-09,"Уважаемая Гуля Рам,

Благодарим вас за теплые слова и высокую оценку труда Байкенже Бибигюль Сериков…",5,1
Raushan Bektasova,2024-11-09,"Жолдасова Эльмира Сапарбаевна замечательный врач УЗИ. Профессионал своего дела, все показала, все объяснила.",2024-11-09,"Уважаемая Раушан Бектасова,

Благодарим вас за теплые слова и высокую оценку работы Жолдасовой Эльми…",5,1
Zhanerke Duisenbayeva,2024-11-09,"Хочу поблагодарить Алию Мукаметкалиевну – отличный врач и замечательный человек! На приеме всё было спокойно и комфортно, чувствовалась настоящая забота. Врач всё подробно объясняла, поддерживала, всегда была на связи, если возникали вопросы. Благодаря ее профессионализму и вниманию мне удалось быстро справиться с проблемой. Огромное спасибо за помощь и поддержку!",2024-11-09,"Уважаемая Жанерке Дуисенбаева,

Благодарим вас за тёплые слова и высокую оценку труда Алии Мукаметка…",5,1
Володя Энфилдович,2024-11-08,По мне так дорого,,,3,0
Неля К,2024-11-08,"У меня аллергия на обезб препараты, лечение зуба назначено было только под наркозом, очень боялась, большое спасибо Анестезиолог у Гульнар Саветбековне, все прошло хорошо, очень грамотный и чуткий, понимающий доктор",2024-11-08,"Уважаемая Неля К,

Благодарим вас за ваш отзыв и добрые слова в адрес нашего анестезиолога Гульнары…",5,1
